label,sms
0,K text when 're the
0,Sir Waiting your mail
0,A swt thought Nver tired doing thing lovable person Coz..somtimes little thing occupy d biggest part their Hearts Gud ni8
0,I Can you pls open back
0,Yes ya on dot
0,Whats staff who taking class u
1,FreeMsg Why n't replied my text I 'm Randy sexy female live local Luv hear u Netcollex Ltd 08700621170150p msg reply Stop end
0,Ummma.will call check in.our life begin qatar pls pray hard
0,K..i deleted contact why
0,Sindu job birla soft
0,The wine flowing 'm i have nevering
0,Yup thk cine better co need down plaza mah
0,Ok Ur typical reply
0,You everywhere dirt floor the window on shirt And when open mouth that flowing I dream world half chore are out A time joy me lot tv show i.ll But guess all thing you just exist rain hail mist when my time is you i one
0,Aaooooright you work
0,I 'm leaving house
0,Hello love What Did get that interview today Are happy Are being good boy Do you think Are you missing me
1,Customer service annoncement You a New Years delivery waiting you Please call 07046744435 to arrange delivery
1,You a winner U been specially selected receive £1000 cash a holiday flight speak a live operator claim 0871277810810
0,Keep safe me I I miss already I envy that 's you in real life
0,New car house my parent have new job hand
0,I 'm in love you I 'm excited day spend you You make so happy
1,PLS STOP bootydelious 32/F inviting friend Reply YES-434 NO-434 See her www.SMS.ac/u/bootydelious STOP Send STOP FRND to 62468
1,BangBabes Ur order way U SHOULD receive Service Msg download UR content If U not GoTo wap bangb tv on UR mobile internet/service menu
0,I place ur point e culture module
1,URGENT We trying contact Last weekend draw show you won £900 prize GUARANTEED Call 09061701939 Claim code S89 Valid 12hrs
0,Hi frnd is way avoid missunderstding wit beloved 's
0,Great escape I fancy bridge need lager See tomo
0,Yes completely out form clark utter waste
0,Sir I AXIS BANK account and bank address
0,Hmmm Thk got time hop ard Ya go free abt Muz call u discus liao
0,What time coming later
0,Bloody hell believe forgot surname Mr Ill give u clue spanish begin m
0,Well 'm gon na finish bath Have good fine night
0,Let know you 've money carlos make the call
0,U going the mall
0,Turns my friend staying the show wo n't back til lt gt feel free go ahead smoke lt gt worth
0,Text If doesnt reply me so can her log
0,Hi You spoke MANEESHA V We 'd to if were satisfied the experience Reply Toll Free Yes No
0,You lifted hope the offer money I in Especially the end the month approach it hurt studying Anyways a gr8 weekend
0,Lol U trust
0,I a gentleman will treat with dignity respect
0,He you guy close
0,Going nothing great.bye
0,Hello handsome Are finding job Not lazy Working getting back net mummy Where 's boytoy Does miss
0,Haha awesome there a minute
1,Please call customer service representative FREEPHONE 0808 145 4742 9am-11pm you WON guaranteed £1000 cash £5000 prize
0,Have got Xmas radio time If i get now
0,I jus reached home I bathe But si net u she finish k
1,Are unique Find from 30th August www.areyouunique.co.uk
0,I 'm I 've joined league people dont in touch You great deal me You been a friend all time at great personal cost Do a great week
0,Hi finally completed course
0,It stop itself I suggest stay someone will able give or every stool
0,How Hope 've settled for new school year Just wishin you a gr8 day
0,Gud mrng dear hav nice day
0,Did u that person story
0,your hamster dead Hey tmr meet at 1pm orchard mrt
0,Hi Kate is evening I hope you tomorrow a bit i to bloody babyjontet Txt back u can xxx
0,Found ENC lt gt you
0,I you lt gt buck
0,Hello darlin ive finished college so txt when u finish u love Kate xxx
0,Your account been refilled successfully INR lt DECIMAL gt Your KeralaCircle prepaid account balance Rs lt DECIMAL gt Your Transaction ID KR lt gt
0,Goodmorning sleeping ga
0,U call alter 11
0,Ü until dat dun buy ericsson oso not oredi lar
0,Aight yo dat straight dogg
0,You give connection today before lt DECIMAL gt refund bill
0,Both shoot big load get ready
0,What 's bruv hope had great break Do a rewarding semester
0,Home we always chat
0,K k good study
0,Yup How ü noe leh
0,Sounds great Are home
0,Finally match heading draw your prediction
0,Tired I n't slept the past night
0,Easy ah sen selected mean good
0,I to exam march
0,Yeah should I you use gt atm to register Not but there 's i help me But you be you ready
0,Ok prob Take ur time
0,There o called ubandu will run installing hard disk can that o copy important file system give to repair shop
0,U leh Of nothing happen lar Not v romantic jus bit lor I thk e nite scenery so nice leh
1,500 New Mobiles 2004 MUST GO Txt NOKIA No 89545 collect today From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
0,Would appreciate you call Just someone talk
1,Will u meet ur dream partner Is ur career flyng start find free txt HORO by ur star sign e g HORO ARIES
0,Hey company elama po mudyadhu
0,Life more strict teacher Bcoz Teacher teach lesson amp conduct exam But Life conduct Exam amp teach Lessons Happy morning
0,Dear good morning only am
0,Get in gandhipuram walk cross cut road Right side lt gt street road turn first
0,Dear are to rubber place
0,Sorry battery died yeah I 'm
0,Yes tv always in work place
1,Text meet sexy today U find date even flirt up U Join 10p REPLY NAME AGE Sam 25 18 msg recd thirtyeight penny
0,I printed oh So lt gt upstairs
0,Or ill a closer at bus stop the street
0,Where wil you reach
0,New Theory Argument win d SITUATION loses PERSON So dont argue ur friend kick amp I 'm correct
1,U 447801259231 a secret admirer is make contact U-find R*reveal who think UR special-call 09058094597
0,Tomarrow final hearing my laptop case i
0,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
0,Okay No just shining That meant be signing that sound
0,Although told u dat 'm baig face watch but really e watch u gave co 's fr u Thanx dat u 've today 'm touched
0,U n't remember old commercial
0,Too late I the website I n't i dont have the slipper
0,I asked to call now
0,Kallis wont bat 2nd inning
0,It didnt work oh Ok goodnight I.ll fix ready the time wake You very dearly missed have a good night sleep
1,Congratulations ur awarded 500 CD voucher 125gift guaranteed Free entry 100 wkly draw txt MUSIC 87066 TnCs www.Ldew.com1win150ppmx3age16
0,Ranjith cal drpd Deeraj deepak 5min hold
0,Wen ur lovable bcums angry wid u dnt it Coz angry d childish n true of showing deep affection care n luv kettoda manda Have nice day da
0,What doing are
0,Ups 3days and shipping company take 2wks The way is usps take week when get lag may bribe nipost to get stuff
0,I 'm back lem know you 're ready
0,Do n't necessarily expect to done you back because I 'm now headin
0,Mmm yummy babe Nice jolt the suzy
0,Where you lover I you
1,We contact re reply to our offer a Video Handset 750 anytime network min UNLIMITED TEXT Camcorder Reply call 08000930705 NOW
0,I ‘ m parked to MINI When you coming today you
0,Yup
0,Anyway 'm shopping now Cos my si done Dun disturb u liao
0,MY NO IN LUTON 0125698789 RING ME IF UR AROUND H
1,Hey I really horny chat see naked text hot 69698 text charged 150pm to unsubscribe text stop 69698
0,Why Dint with
0,Same Wana plan trip sometme
0,Not yet trying get hold him
1,Ur ringtone service changed 25 Free credit Go club4mobiles.com choose content Stop txt CLUB STOP 87070 150p/wk Club4 PO Box1146 MK45 2WT
0,The evo I had download flash Jealous
1,Ringtone Club Get UK single chart your mobile week choose top quality ringtone This message free charge
0,Come mu 're sorting our narcotic situation
0,Night ended another day morning come a special May smile the sunny ray leaf worry the blue blue bay
1,HMV BONUS SPECIAL 500 pound genuine HMV voucher be won Just answer easy question Play Now Send HMV 86688 More info www.100percent-real.com
0,Usf I guess a take car
0,No objection My bf coming
0,Thanx
0,Tell rob mack gf the theater
0,Awesome I 'll you a bit
0,Just it So type food you
0,All All handed Celebrations full swing
0,You called tool
0,Wen u miss the person definitely special u But the person so special to miss just Keep-in-touch gdeve
0,Ok I asked money far
0,Okie
0,Yeah I my usual guy 's passed from night you ahold anybody me and I 'll throw
0,K I come tonight if class let early
0,Ok
0,baby im cruisin my girl friend r u give a call and hour home thats alright fone on fone love jenny xxx
0,My life Means lot me Not I love life But I love people my life The world call friend I call my World Ge
0,Dear mail tonite.busy the street update tonite.things looking ok.varunnathu edukkukayee raksha ollu.but good in real sense
0,Hey told name gautham ah
0,Haf u found I feel stupid da v cam working
0,Oops that bit
0,Are this buzy
0,I accidentally deleted message Resend
1,T-Mobile customer may claim FREE CAMERA PHONE upgrade pay sim card your loyalty Call 0845 021 3680.Offer end 28thFeb.T C 's apply
0,Unless 's situation YOU GO GURL be appropriate
0,Hurt Tease Make cry But the end my life i die plz one rose my grave say STUPID I MISS U HAVE A NICE DAY BSLVYL
0,I pick phone now Pls send message
0,Need coffee run tomo Ca n't it 's time week
0,Awesome I remember last time got high the time diesel V
0,Shit shocking scary imagine a Def night Do u there is somewhere could crash for night save taxi
0,Oh by way do more food your fridge Want go for meal tonight
0,He a womdarfull actor
1,SMS ac Blind Date 4U Rodds1 21/m Aberdeen United Kingdom Check Him http img sm ac/W/icmb3cktz8r7 Blind Dates send HIDE
0,Yup From i remb I should can book
0,Jos if u wana meet
0,Lol Our friendship hanging a thread u wo n't buy stuff
1,TheMob Check our newest selection content Games Tones Gossip babe sport Keep mobile fit funky text WAP 82468
0,Where the garage key They n't the bookshelf
0,Today ACCEPT DAY..U Accept a Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply mean enemy
1,Think ur smart Win £200 week our weekly quiz text PLAY 85222 T Cs WinnersClub PO BOX 84 M26 3UZ 16 GBP1.50/week
0,He 'll give a call his friend 's the money that he 's buying the end the week
0,Hi I with u 2day normal way this the real UR unique I hope I u the rest mylife Hope u find wot lost
0,You made day Do a great day
0,K.k advance happy pongal
0,Hmmm Guess can kb n power yoga Haha dunno can tahan power yoga anot Thk lo oso forgot liao
0,Not dude no friend 'm afraid
1,December Had mobile 11mths You entitled update the latest colour camera mobile Free Call The Mobile Update Co FREE 08002986906
0,Coffee cake guess
0,Merry Christmas you babe love ya kiss
0,Hey Why dont just watch x men have lunch Haha
0,cud u ppl im gona b bit l8 co bus hav gon past co were full im waitin 1 Pete x
0,That great We 'll be at Guild Could meet Bristol road somewhere get touch weekend Our plan flight Have good week
0,No problem How you
0,Hi da is today class
0,I 'd that 's good sign well know track record reading woman
0,Cool text when 're parked
0,I 'm reading text just you Its meant be joke So read in light
0,K.k apo k.good movie
0,Maybe could book tomo return immediately Or
1,Call Germany only penny minute Call a fixed line access number 0844 861 85 85 No prepayment Direct access
0,Any chance might had evaporated soon violated privacy stealing phone number employer 's paperwork Not cool all Please not contact me again I report you to your supervisor
1,Valentines Day Special Win £1000 our quiz take partner the trip a lifetime Send GO 83600 150p/msg rcvd CustCare:08718720201
0,Ta-Daaaaa I home babe you up
0,Cool So come havent wined dined
0,Just sleeping..and surfing
0,U calling right Call hand phone
0,Ok 's great a lot
0,I it post come You have 1000 text Happy reading My from wiv caroline the end my favourite Bless
0,Where u hiding stranger
0,Am interested do that
0,My sister cleared round birla soft yesterday
0,Gudnite tc practice on
0,Dis yijue I jus ur mail In case huiming havent u num Dis my num
0,One small prestige problem
1,Fancy shag I do.Interested sextextuk.com txt XXUK SUZY 69876 Txts cost 1.50 msg TnCs website X
0,Just checking on Really miss Jeremiah Do a great month
0,Nah ca n't you I 've had iphone
0,If 're car in an hour a half I 'm apeshit
0,TODAY Sorry day If angry ever i misbehaved hurt you plz plz JUST SLAP URSELF Bcoz Its ur fault I 'm basically GOOD
0,Yo guy figure how we for alcohol Jay I trying figure how we safely spend weed
0,lt gt ISH MINUTES WAS MINUTES AGO WTF
0,Thank You calling.Forgot say Happy Onam Sirji.I fine and remembered you when met insurance person.Meet You Qatar Insha Allah.Rakhesh Tata AIG joined TISSCO Tayseer
1,Ur cash-balance currently 500 pound maximize ur cash-in send CASH 86688 150p/msg CC 08708800282 HG/Suite342/2Lands Row/W1J6HL
0,I 'm actor When work work the evening sleep late Since 'm unemployed the moment ALWAYS sleep late When 're unemployed day saturday
0,Hello Just here st andrews-boy a long Its cold I keep posted
0,Ha ha cool cool chikku chikku DB
0,Oh no prob
0,Check audrey 's status now
0,Busy Trying finish new year I looking forward finally meeting
0,Good afternoon sunshine How dawn day Are refreshed happy be alive Do breathe the air smile I of my love As
0,Well know Z take care me So worry
1,Update_Now Xmas Offer Latest Motorola SonyEricsson Nokia FREE Bluetooth Double Mins 1000 Txt Orange Call MobileUpd8 08000839402 call2optout/F4Q
1,Here your discount code RP176781 To stop message reply stop www.regalportfolio.co.uk Customer Services 08717205546
0,Wat uniform In get
0,Cool text when 're ready
0,Hello boytoy Geeee I miss already I woke I here bed cuddling me I love you
0,I spoil in bed well
0,I 'm for bath msg next lt gt min
0,I keep talking people am sure can pay if agree price So pls me you buy how you willing to pay
1,Thanks your Ringtone Order Reference T91 You be charged GBP week You unsubscribe anytime calling customer service 09057039994
0,Can say happen
0,You have me..i did't recognise Face
0,Well 's a lot thing happening Lindsay New year sigh Some bar Ptbo the blue heron something
0,Keep payasam if rinu brings
0,I taught Ranjith sir called So i sm that Becaus he verifying project Prabu told today only pa dont mistake
0,I guess 's worried You know there 's way body repair And 'm sure should n't worry We 'll it slow First test will guide your ovulation then relax Nothing 've is reason worry i.ll on followin you up
0,Yeah give a couple minute track my wallet
0,Hey leave not big deal care
0,Hey will late ah Meet at 945
1,Double min txts 6months FREE Bluetooth Orange Available Sony Nokia Motorola phone Call MobileUpd8 08000839402 call2optout/N9DX
0,It Mr owl lick
0,Customer place will call
0,Mm time dont fun
1,4mths half price Orange line rental latest camera phone FREE Had phone 11mths Call MobilesDirect free 08000938767 update or2stoptxt
0,Yup my lunch buffet U eat
0,Huh late Fr dinner
0,Hey this sat we for intro pilate Or kickboxing
0,Morning i ok
0,Yes think I in office my lap in room think on the few day I didnt shut down
0,Pick up bout 7.30ish What time and going
0,From after The performance award calculated two month.not current month period
0,Was sleeping still when u call back So text gr8 You rock si Will send u text wen wake
0,You always putting business there You put picture your as facebook You one the open people 've met Why i a picture your room hurt make feel violated
0,Good evening Sir Al Salam Wahleykkum.sharing happy news.By grace God got offer Tayseer TISSCO i joined.Hope are fine.Inshah Allah meet sometime.Rakhesh visitor India
0,Hmmm k to change field quickly da i wan na system administrator network administrator
1,FREE RINGTONE text FIRST 87131 a poly text GET 87131 a true tone Help 0845 2814032 16 1st free tone 3x£150pw e£nd txt stop
0,Dear is chechi Did talk her
0,The hair cream not shipped
0,None that 's happening til get though
0,Yep great loxahatchee xmas tree burning lt gt start an hour
0,Haha used driving usf man I a lot stoner
0,All well slightly disastrous class pm my fav darling Hope day ok Coffee wld good ca n't stay late tomorrow Same time place always
0,Hello Good week Fancy drink something
0,Headin busetop
0,Message text missing Sender Name Missing Number Missing Sent Date missing Missing U lot y is missing via fullonsms.com
0,Come our room some point we iron the plan this weekend
0,Cos want to your thing
0,Okies I 'll yan jiu We skip ard oso cine den mrt blah blah blah
0,Bring home Wendy D
1,100 dating service cal l 09064012103 box334sk38ch
0,Whatsup Dont u to sleep
0,Alright have new goal
1,FREE entry our £250 weekly competition text word WIN 80086 NOW 18 T C www.txttowin.co.uk
0,Alright I 'll head in few minute text where meet
1,Send logo ur lover name joined a heart Txt LOVE NAME1 NAME2 MOBNO LOVE ADAM EVE 07123456789 87077 Yahoo POBox36504W45WQ TxtNO ad 150p
0,Yes last week i 'm taking live call
1,Someone contacted dating service entered phone they fancy To find who is call a landline 09111032124 PoBox12n146tf150p
0,Siva in hostel aha
1,URGENT Your Mobile number been awarded a £2000 prize GUARANTEED Call 09058094455 land line Claim 3030 Valid 12hrs
0,Send to ur friend receive about ur voice How my speaking expression 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful attitude 6.romantic 7.shy 8.Attractive 9.funny lt gt irritating lt gt lovable reply
0,Ok She 'll ok I guess
0,aathi..where you dear
0,Any pain urination thing
0,esplanade Do ü mind giving a lift co got car today
0,I wnt buy BMW car urgently..its vry urgent.but hv shortage lt gt Lacs.there no source arng dis amt lt gt lacs..thats prob
0,At home watching tv lor
0,Does usually fifteen fucking minute respond a or question
1,Congrats Nokia 3650 video camera phone your Call 09066382422 Calls cost 150ppm Ave call 3mins vary mobile 16 Close 300603 post BCM4284 Ldn WC1N3XX
0,Booked ticket pongal
0,You now I 'm right hillsborough amp lt gt
0,The message is askin lt gt dollar Shoul pay lt gt lt gt
0,Ask g iouri I 've told story ten time
0,How long applebees fucking
0,Hi hope u this txt~journey hasnt gd about 50 min late I
0,But I to have love arrange
0,Yes..he really great..bhaji told kallis cricketer sachin world tough get
0,You supposed wake ME gt
0,Oic I him but tot din c I found group liao
0,HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND HOWDY GORGEOUS HOWU DOIN FOUNDURSELF A JOBYET SAUSAGE LOVE JEN XXX
0,Sorry battery died I come but I 'm getting gram now 's place
0,Well blimey exercise yeah kinda remember wot is hmm
0,I wont concentration dear know are mind everything
0,LOL Have made plan new year
0,10 min k
0,hank lotsly
0,Thanks this hope had good day today
0,K k are detail want transfer acc enough
0,Ok her stay Yeah been tough we optimistic thing will improve month
1,"Loan any purpose £500 £75,000 Homeowners Tenants Have been previously refused We still Call Free 0800 1956669 text back 'help"
0,Si si I ill make oreo truffle
0,LOOK AT AMY URE A BEAUTIFUL INTELLIGENT WOMAN AND I LIKE U A LOT I KNOW U DONT LIKE ME LIKE THAT SO DONT WORRY
0,I hope that 's result being consistently intelligent kind Start him practicum link keep ear open all best ttyl
0,1.20 call cost Which guess isnt bad Miss ya ya ya love ya
0,Going a different feeling.wavering decision coping with the same individual.time heal i
0,Where u My phone gon na die have stay here
0,Great Never better Each day even reason thank God
1,UpgrdCentre Orange customer may claim FREE CAMERA PHONE upgrade your loyalty Call on 0207 153 9153 Offer end 26th July T C 's apply Opt-out
0,Sorry I 'll call ok bye
0,Ok am the to railway
0,great princess I love giving receiving oral Doggy style my fave position How you I enjoy making love lt gt time night
0,They n't put stuff the road keep from slippery there
0,When you to ride bike
0,Yup need I 'll jus wait e rain stop
0,There many company Tell the language
1,okmail Dear Dave is final notice collect Tenerife Holiday 5000 CASH award Call 09061743806 landline TCs SAE Box326 CW25WX 150ppm
0,How long it since screamed princess
0,Nothing I meant once money enters account bank remove flat rate Someone transfered lt gt my account lt gt dollar removed So bank differ charge differ.be trust the 9ja person you are sending account detail co
1,Want laid tonight Want real Dogging location direct ur Mob Join UK 's largest Dogging Network txting MOAN 69888Nyt ec2a 31p.msg 150p
0,Nice line by broken heart Plz n't cum time infront me Other wise again I ll trust U Good 9t
0,Ok I 'm gon na head to usf like fifteen minute
0,Love aathi..love u lot
0,Tension ah machi problem
0,K I pick another 8th you 're
0,When 're guy back G you thinking not staying mcr
0,Almost see u a sec
0,Yo carlos few friend already me you working all weekend
0,Watching tv lor
0,Thank baby I wait taste real thing
0,You change fb jaykwon thuglyfe falconerf
0,If win really side long time
1,FREE MESSAGE Activate 500 FREE Text Messages replying this message the word FREE For term condition visit www.07781482378.com
0,Dear reached railway What happen you
0,Depends quality If want type sent boye faded glory about If want ralphs
0,I i 've fixed can send test message
0,Sorry man account 's dry I if want trade back half I could buy shit my credit card
1,Congrats year special cinema pas yours call 09061209465 C Suprman V Matrix3 StarWars3 all FREE bx420-ip4-5we 150pm Dont miss
0,Sorry meeting I 'll call
0,What class lt gt reunion
0,Are free can call
0,Got meh When
0,Nope Think will for on monday Sorry replied late
0,Some them told accenture not confirm Is true
0,Kate jackson rec center 7ish
0,Dear have reache room
0,Fighting the world easy u win lose bt fightng some1 close u is dificult u lose u lose u win u lose
0,When ü out
0,Check nuerologist
0,Lolnice I from fish water
1,123 Congratulations this week 's competition draw u won £1450 prize claim call 09050002311 b4280703 T Cs/stop SMS 08718727868 Over 18 150ppm
0,No 's waiting e car dat 's bored wat Cos wait got At home do stuff watch tv wat
0,Maybe westshore hyde park village place my house
0,You know So 's anthony Are bringing money I 've school fee pay rent stuff that Thats i your A friend need
0,What 's significance
0,Your opinion me Over Jada Kusruthi Lovable Silent Spl character Not matured Stylish Simple Pls reply
0,latest g 's there you scrounge some ammo want give the new ak try
0,Prabha..i 'm soryda..realy..frm heart 'm sory
0,Lol your forgiven
0,No..jst change tat
1,You guaranteed latest Nokia Phone 40GB iPod MP3 player a £500 prize Txt word COLLECT No 83355 IBHltd LdnW15H 150p/Mtmsgrcvd18
